Steel Type,Heat,Reduction Ratio,dA,dB,dC,Fe,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,Al,N,Ti,O,Normalizing Temp,Normalizing Time,Normalizing Temp*log(time),Quenching Temp,Quenching Time,Quenching Tlog(t),Tempering Temp,Tempering Time,Tempering Tlog(t),Fatigue strength
,C,1120,0.02,0,0.03,97.188,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,583
,D,174,0.03,0,0.01,97.51,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,569
,E,820,0.01,0.01,0.01,58.854,39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,536
,F,1120,0.01,0,0.01,97.269,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,577
,H,820,0.03,0,0.02,97.496,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,565
,I,1120,0.02,0,0.01,97.286,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,562
SCr440 Steel 2,A,1740,0.03,0,0,97.385,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,522
,B,820,0.01,0,0.01,97.562,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,504
,C,1120,0.02,0,0.03,97.188,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,516
,D,174,0.03,0,0.01,97.51,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,517
,E,820,0.01,0.01,0.01,58.854,39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,511
,F,1120,0.01,0,0.01,97.269,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,518
,H,820,0.03,0,0.02,97.496,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,524
,I,1120,0.02,0,0.01,97.286,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,503
SCr440 Steel 3,A,1740,0.03,0,0,97.385,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,483
,B,820,0.01,0,0.01,97.562,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,457
,C,1120,0.02,0,0.03,97.188,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,482
,D,174,0.03,0,0.01,97.51,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,470
,E,820,0.01,0.01,0.01,58.854,39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,459
,F,1120,0.01,0,0.01,97.269,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,490
,H,820,0.03,0,0.02,97.496,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,485
,I,1120,0.02,0,0.01,97.286,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,483
SCM 435 Steel 1,A,820,0.08,0,0.01,97.167,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,587
,B,1250,0,0,0.02,97.409,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,571
,C,1120,0,0,0.01,97.291,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,578
,D,530,0.02,0,0,97.284,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,526
,E,500,0.08,0,0.01,97.27,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,535
,G,740,0.02,0,0.01,97.204,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.17,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,572
,H,530,0.01,0.01,0,97.221,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.15,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,562
,I,1120,0.03,0,0.01,97.153,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,563
,J,174,0.05,0,0,97.367,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.19,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,583
,K,640,0.03,0,0,97.437,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.17,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,585
,L,820,0.1,0,0,97.446,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.18,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,592
,M,500,0.05,0,0.02,97.144,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,573
,N,1120,0.03,0,0.02,97.103,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,536
,O,500,0.08,0,0,97.188,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,557
SCM 435 Steel 2,A,820,0.08,0,0.01,97.167,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,552
,B,1250,0,0,0.02,97.409,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,519
,C,1120,0,0,0.01,97.291,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,524
,D,530,0.02,0,0,97.284,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,508
,E,500,0.08,0,0.01,97.27,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,490
,G,740,0.02,0,0.01,97.204,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.17,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,550
,H,530,0.01,0.01,0,97.221,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.15,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,515
,I,1120,0.03,0,0.01,97.153,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,530
,J,174,0.05,0,0,97.367,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.19,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,546
,K,640,0.03,0,0,97.437,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.17,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,535
,L,820,0.1,0,0,97.446,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.18,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,550
,M,500,0.05,0,0.02,97.144,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,542
,N,1120,0.03,0,0.02,97.103,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,592
,O,500,0.08,0,0,97.188,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,524
SCM 435 Steel 3,A,820,0.08,0,0.01,97.167,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,497
,B,1250,0,0,0.02,97.409,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,491
,C,1120,0,0,0.01,97.291,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,463
,D,530,0.02,0,0,97.284,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,464
,E,500,0.08,0,0.01,97.27,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,459
,G,740,0.02,0,0.01,97.204,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.17,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,489
,H,530,0.01,0.01,0,97.221,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.15,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,477
,I,1120,0.03,0,0.01,97.153,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,469
,J,174,0.05,0,0,97.367,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.19,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,496
,K,640,0.03,0,0,97.437,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.17,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,467
,L,820,0.1,0,0,97.446,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.18,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,511
,M,500,0.05,0,0.02,97.144,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,490
,N,1120,0.03,0,0.02,97.103,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,523
,O,500,0.08,0,0,97.188,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,476
SCM 440 Steel 1,A,530,0.03,0,0,97.241,0.41,0.24,0.77,0.014,0.015,1.06,0.05,0.2,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,610
,B,500,0.08,0,0.01,97.203,0.39,0.27,0.86,0.019,0.008,0.96,0.12,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,581
,C,1740,0.06,0,0,97.229,0.43,0.26,0.74,0.019,0.012,1.07,0.02,0.22,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,625
,D,610,0.05,0,0.01,97.267,0.4,0.26,0.77,0.018,0.005,0.98,0.13,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,562
,E,510,0.04,0,0.01,97.211,0.41,0.24,0.8,0.015,0.024,1.02,0.1,0.18,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,635
,F,700,0.03,0,0,97.338,0.41,0.25,0.74,0.013,0.019,0.99,0.08,0.16,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,566
,G,1120,0.02,0.01,,97.101,0.39,0.28,0.77,0.021,0.018,1.08,0.15,0.19,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,638
,H,1740,0.06,0,0.01,97.456,0.37,0.24,0.69,0.018,0.016,1,0.02,0.19,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,606
,I,500,0.09,0.01,0.01,97.148,0.42,0.29,0.77,0.015,0.017,1.1,0.09,0.15,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,582
,J,820,0.04,0,0.01,97.197,0.42,0.28,0.75,0.015,0.008,1.04,0.12,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,634
,K,500,0.1,0,0,97.239,0.4,0.26,0.74,0.024,0.017,1.01,0.14,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,585
,L,700,0.07,0.01,0,97.104,0.4,0.25,0.87,0.011,0.015,1.06,0.11,0.18,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,603
,M,820,0.02,0,0.02,97.436,0.4,0.22,0.7,0.01,0.004,0.94,0.12,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,625
,N,510,0.04,0,0.03,97.328,0.4,0.25,0.74,0.014,0.028,0.96,0.1,0.18,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,631
,O,1740,0.04,0,0,97.241,0.44,0.26,0.75,0.017,0.012,1.05,0.02,0.21,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,550,1,977.9831877,625
SCM 440 Steel 2,A,530,0.03,0,0,97.241,0.41,0.24,0.77,0.014,0.015,1.06,0.05,0.2,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,551
,B,500,0.08,0,0.01,97.203,0.39,0.27,0.86,0.019,0.008,0.96,0.12,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,539
,C,1740,0.06,0,0,97.229,0.43,0.26,0.74,0.019,0.012,1.07,0.02,0.22,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,564
,D,610,0.05,0,0.01,97.267,0.4,0.26,0.77,0.018,0.005,0.98,0.13,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,550
,E,510,0.04,0,0.01,97.211,0.41,0.24,0.8,0.015,0.024,1.02,0.1,0.18,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,590
,F,700,0.03,0,0,97.338,0.41,0.25,0.74,0.013,0.019,0.99,0.08,0.16,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,527
,G,1120,0.02,0.01,,97.101,0.39,0.28,0.77,0.021,0.018,1.08,0.15,0.19,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,557
,H,1740,0.06,0,0.01,97.456,0.37,0.24,0.69,0.018,0.016,1,0.02,0.19,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,551
,I,500,0.09,0.01,0.01,97.148,0.42,0.29,0.77,0.015,0.017,1.1,0.09,0.15,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,583
,J,820,0.04,0,0.01,97.197,0.42,0.28,0.75,0.015,0.008,1.04,0.12,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,570
,K,500,0.1,0,0,97.239,0.4,0.26,0.74,0.024,0.017,1.01,0.14,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,543
,L,700,0.07,0.01,0,97.104,0.4,0.25,0.87,0.011,0.015,1.06,0.11,0.18,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,543
,M,820,0.02,0,0.02,97.436,0.4,0.22,0.7,0.01,0.004,0.94,0.12,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,563
,N,510,0.04,0,0.03,97.328,0.4,0.25,0.74,0.014,0.028,0.96,0.1,0.18,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,577
,O,1740,0.04,0,0,97.241,0.44,0.26,0.75,0.017,0.012,1.05,0.02,0.21,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,600,1,1066.89075,578
SCM 440 Steel 3,A,530,0.03,0,0,97.241,0.41,0.24,0.77,0.014,0.015,1.06,0.05,0.2,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,490
,B,500,0.08,0,0.01,97.203,0.39,0.27,0.86,0.019,0.008,0.96,0.12,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,496
,C,1740,0.06,0,0,97.229,0.43,0.26,0.74,0.019,0.012,1.07,0.02,0.22,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,511
,D,610,0.05,0,0.01,97.267,0.4,0.26,0.77,0.018,0.005,0.98,0.13,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,494
,E,510,0.04,0,0.01,97.211,0.41,0.24,0.8,0.015,0.024,1.02,0.1,0.18,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,517
,F,700,0.03,0,0,97.338,0.41,0.25,0.74,0.013,0.019,0.99,0.08,0.16,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,480
,G,1120,0.02,0.01,,97.101,0.39,0.28,0.77,0.021,0.018,1.08,0.15,0.19,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,502
,H,1740,0.06,0,0.01,97.456,0.37,0.24,0.69,0.018,0.016,1,0.02,0.19,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,504
,I,500,0.09,0.01,0.01,97.148,0.42,0.29,0.77,0.015,0.017,1.1,0.09,0.15,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,505
,J,820,0.04,0,0.01,97.197,0.42,0.28,0.75,0.015,0.008,1.04,0.12,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,502
,K,500,0.1,0,0,97.239,0.4,0.26,0.74,0.024,0.017,1.01,0.14,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,496
,L,700,0.07,0.01,0,97.104,0.4,0.25,0.87,0.011,0.015,1.06,0.11,0.18,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,501
,M,820,0.02,0,0.02,97.436,0.4,0.22,0.7,0.01,0.004,0.94,0.12,0.17,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,517
,N,510,0.04,0,0.03,97.328,0.4,0.25,0.74,0.014,0.028,0.96,0.1,0.18,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,523
,O,1740,0.04,0,0,97.241,0.44,0.26,0.75,0.017,0.012,1.05,0.02,0.21,,0,0,0,0,870,0.5,1285.095492,855,0.5,1262.938673,650,1,1155.798313,516
